n,time
1000000, 3.3550
2000000, 6.2050
3000000, 10.0980
4000000, 11.9660
5000000, 14.9250
6000000, 17.3980
7000000, 24.1800
8000000, 29.5360
9000000, 26.5640
10000000, 35.8850
11000000, 37.2730
12000000, 39.6240
13000000, 40.1570
14000000, 58.9190
15000000, 50.0870
16000000, 60.1420
17000000, 66.1180
18000000, 63.5200
19000000, 108.5680
20000000, 78.3260
21000000, 98.4230
22000000, 77.9360
23000000, 171.5370
24000000, 245.9140
25000000, 209.9120
26000000, 241.3820
27000000, 232.9920
28000000, 247.1680
29000000, 254.3440
30000000, 245.7480
31000000, 259.2300
32000000, 284.7600
33000000, 316.4160
34000000, 299.0570
35000000, 346.3840
36000000, 328.1710
37000000, 369.3430
38000000, 346.4330
39000000, 353.3970
40000000, 376.4710
41000000, 371.1170
42000000, 383.5290
43000000, 429.3700
44000000, 424.7240
45000000, 400.3850
46000000, 433.8870
47000000, 444.3820
48000000, 451.8650
49000000, 473.2160
50000000, 500.4580
51000000, 539.5810
